Time,Avg. glucose - Suc,SD glucose - Suc,Avg. glucose - Suc + Ara,SD glucose - Suc + Ara,Avg. Insulin - Suc,SD Insulin - Suc,Avg. Insulin - Suc + Ara,SD Insulin - Suc + Ara,Avg. Glucagon - Suc,SD Glucagon - Suc,Avg. Glucagon - Suc + Ara,SD Glucagon - Suc + Ara
0,6.2,0.7,6.3,0.7,7.8,5.6,8.2,4.1,5.6,2.8,5.8,2.3
15,7.8,0.9,6.8,0.6,33,37.9,13.2,10.8,6.2,2.8,5.5,2.3
30,9.1,1.4,7.7,0.8,47.8,41.8,23.6,18.9,6.4,3.3,6.5,2.9
45,9.1,1.9,8,1.2,51,40.8,27.4,22.4,5.2,2.4,6.2,3
60,8.3,2.3,7.9,1.5,47.9,45.4,32.8,24.1,4.4,2.5,6.6,3.1
90,6.7,1.8,7.5,1.5,31.2,21.2,35.8,24.3,4.2,1.9,6.1,2.4
120,5.8,1.3,6.9,1.2,18.2,15.6,25.4,14.4,4.7,1.7,5.8,2.5
180,5.3,0.5,5.8,0.7,7.4,3.4,10.9,6,5.2,2.4,5.6,2.3
,,,,,,,,,,,,
,Key:,,,,,,,,,,,
,Avg. - Average,,,,,,,,,,,
,SD - Standard deviation,,,,,,,,,,,
,Suc - Sucrose,,,,,,,,,,,
,Suc + Ara - Sucrose and Arabinose,,,,,,,,,,,
